ID,Image,Name,Nickname,Game,Archetype,Position,Element,Team,Power,Control,Technique,Pressure,Physical,Agility,Intelligence,Total,Age group,School year,Gender,Role
18.0,https://dxi4wb638ujep.cloudfront.net/1/k/9/w/9wtikebapts.png,Joseph King,King,Inazuma Eleven,Brecha,GK,Fire,Royal Academy,126,135,127,137,147,155,135,962,Middle School,Grade 8,Male,Player
19.0,https://dxi4wb638ujep.cloudfront.net/1/k/d/5/d5w9zd0i6nc.png,Peter Drent,Drent,Inazuma Eleven,Juego Sucio,DF,Mountain,Royal Academy,121,126,128,138,144,124,156,937,Middle School,Grade 8,Male,Player
20.0,https://dxi4wb638ujep.cloudfront.net/1/k/s/r/srbc08syx-0.png,Ben Simmons,Simmons,Inazuma Eleven,Justicia,DF,Forest,Royal Academy,114,121,119,142,149,124,166,935,Middle School,Grade 8,Male,Player
21.0,https://dxi4wb638ujep.cloudfront.net/1/k/u/w/uwgaalaes40.png,Alan Master,Master,Inazuma Eleven,Brecha,MF,Wind,Royal Academy,135,158,159,119,113,113,141,938,Middle School,Grade 7,Male,Player
22.0,https://dxi4wb638ujep.cloudfront.net/1/k/f/y/fy3h3amk_lc.png,Gus Martin,Martin,Inazuma Eleven,Afinidad,DF,Forest,Royal Academy,121,127,128,138,145,124,156,939,Middle School,Grade 8,Male,Player
23.0,https://dxi4wb638ujep.cloudfront.net/1/k/_/3/_3uukhtskrs.png,Herman Waldon,Waldon,Inazuma Eleven,Juego Sucio,MF,Wind,Royal Academy,135,158,159,119,113,113,141,938,Middle School,Grade 8,Male,Player
24.0,https://dxi4wb638ujep.cloudfront.net/1/k/o/f/ofl1j41wnye.png,John Bloom,Bloom,Inazuma Eleven,Tensión,MF,Fire,Royal Academy,135,158,159,119,113,113,141,938,Middle School,Grade 8,Male,Player
25.0,https://dxi4wb638ujep.cloudfront.net/1/k/6/1/61at4120ans.png,Derek Swing,Swing,Inazuma Eleven,Contraataque,MF,Wind,Royal Academy,135,158,159,119,113,113,141,938,Middle School,Grade 7,Male,Player
26.0,https://dxi4wb638ujep.cloudfront.net/1/k/l/d/ldrmvkqotue.png,Daniel Hatch,Hatch,Inazuma Eleven,Juego Sucio,FW,Forest,Royal Academy,156,152,138,123,120,113,135,937,Middle School,Grade 8,Male,Player
27.0,https://dxi4wb638ujep.cloudfront.net/1/k/l/1/l1wbplzhm4k.png,Jude Sharp,Jude,Inazuma Eleven,Justicia,MF,Wind,Royal Academy,145,156,152,127,128,119,140,967,Middle School,Grade 8,Male,Player
28.0,https://dxi4wb638ujep.cloudfront.net/1/k/u/d/udbgi0_9hlm.png,David Samford,Samford,Inazuma Eleven,Contraataque,FW,Forest,Royal Academy,169,161,147,123,119,119,130,968,Middle School,Grade 8,Male,Player
29.0,https://dxi4wb638ujep.cloudfront.net/1/k/0/y/0yivxpk1ur8.png,Bob Carlton,Carlton,Inazuma Eleven,Justicia,GK,Forest,Royal Academy,117,128,120,135,141,145,128,914,Middle School,Grade 8,Male,Player
30.0,https://dxi4wb638ujep.cloudfront.net/1/k/f/a/fat0cwsp5yu.png,Cliff Tomlinson,Tomlinson,Inazuma Eleven,Brecha,FW,Wind,Royal Academy,155,151,137,121,119,112,134,929,Middle School,Grade 9,Male,Player
31.0,https://dxi4wb638ujep.cloudfront.net/1/k/h/7/h7uoyp-j8eu.png,Jim Lawrenson,Lawrenson,Inazuma Eleven,Tensión,FW,Wind,Royal Academy,165,156,142,116,113,113,124,929,Middle School,Grade 7,Male,Player
32.0,https://dxi4wb638ujep.cloudfront.net/1/k/2/t/2tljfwyzrt8.png,Barry Potts,Potts,Inazuma Eleven,Juego Sucio,MF,Wind,Royal Academy,135,156,158,116,113,113,140,931,Middle School,Grade 9,Male,Player
33.0,https://dxi4wb638ujep.cloudfront.net/1/k/w/8/w8g8mttrknm.png,Steve Ingham,Ingham,Inazuma Eleven,Afinidad,FW,Mountain,Royal Academy,155,151,137,121,119,112,134,929,Middle School,Grade 8,Male,Player
34.0,https://dxi4wb638ujep.cloudfront.net/1/k/8/w/8wocttgsuu0.png,Ray Dark,Dark,Inazuma Eleven,Tensión,MF,Wind,Royal Academy,135,158,159,119,113,113,141,938,Adult,-,Male,Manager
35.0,https://dxi4wb638ujep.cloudfront.net/1/k/n/y/ny_j-sgwdnc.png,Stephen Black,Black,Inazuma Eleven,Tensión,DF,Forest,Royal Academy,120,123,127,135,142,123,155,925,Adult,-,Male,Coach
36.0,https://dxi4wb638ujep.cloudfront.net/1/k/v/a/vaeuza7dvs8.png,Nathan Jones,Mask,Inazuma Eleven,Juego Sucio,GK,Wind,Occult,119,130,123,133,144,152,131,932,Middle School,Grade 8,Male,Player
37.0,https://dxi4wb638ujep.cloudfront.net/1/k/p/v/pv9hgholaym.png,Russell Walk,Styx,Inazuma Eleven,Justicia,DF,Forest,Occult,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
38.0,https://dxi4wb638ujep.cloudfront.net/1/k/-/h/-hman4ox3bk.png,Jason Jones,Creepy,Inazuma Eleven,Afinidad,DF,Wind,Occult,114,119,116,142,148,121,165,925,Middle School,Grade 7,Male,Player
39.0,https://dxi4wb638ujep.cloudfront.net/1/k/8/m/8mlcjh6dyhk.png,Ken Furan,Franky,Inazuma Eleven,Juego Sucio,DF,Mountain,Occult,114,119,116,142,148,121,165,925,Middle School,Grade 9,Male,Player
40.0,https://dxi4wb638ujep.cloudfront.net/1/k/n/o/no69oecnf0m.png,Jerry Fulton,Undead,Inazuma Eleven,Juego Sucio,DF,Fire,Occult,120,123,127,135,142,123,155,925,Middle School,Grade 8,Male,Player
41.0,https://dxi4wb638ujep.cloudfront.net/1/k/t/h/thziddpvqu8.png,Ray Mannings,Jiangshi,Inazuma Eleven,Tensión,MF,Wind,Occult,140,152,147,121,123,113,135,931,Middle School,Grade 8,Male,Player
42.0,https://dxi4wb638ujep.cloudfront.net/1/k/c/j/cjopw8pvhnu.png,Robert Mayer,Mummy,Inazuma Eleven,Tensión,MF,Forest,Occult,140,152,147,121,123,113,135,931,Middle School,Grade 8,Male,Player
43.0,https://dxi4wb638ujep.cloudfront.net/1/k/o/j/ojxxbxm3gy8.png,Alexander Brave,Grave,Inazuma Eleven,Contraataque,MF,Fire,Occult,140,152,147,121,123,113,135,931,Middle School,Grade 8,Male,Player
44.0,https://dxi4wb638ujep.cloudfront.net/1/k/z/l/zlmqsoqnnru.png,Johan Tassman,Talisman,Inazuma Eleven,Juego Sucio,FW,Forest,Occult,166,158,142,119,113,113,126,937,Middle School,Grade 7,Male,Player
45.0,https://dxi4wb638ujep.cloudfront.net/1/k/3/j/3j9d2pjesh0.png,Troy Moon,Wolfy,Inazuma Eleven,Afinidad,MF,Fire,Occult,135,156,158,116,113,113,140,931,Middle School,Grade 9,Male,Player
46.0,https://dxi4wb638ujep.cloudfront.net/1/k/g/l/glm8bwf-b0c.png,Burt Wolf,Blood,Inazuma Eleven,Juego Sucio,MF,Mountain,Occult,135,158,159,119,113,113,141,938,Middle School,Grade 8,Male,Player
47.0,https://dxi4wb638ujep.cloudfront.net/1/k/m/k/mkvjitw20us.png,Rob Crombie,Zombie,Inazuma Eleven,Tensión,GK,Mountain,Occult,117,128,120,135,141,145,128,914,Middle School,Grade 9,Male,Player
48.0,https://dxi4wb638ujep.cloudfront.net/1/k/x/m/xmeolswmzne.png,Chuck Dollman,Dollman,Inazuma Eleven,Juego Sucio,FW,Forest,Occult,165,156,142,116,113,113,124,929,Middle School,Grade 8,Male,Player
49.0,https://dxi4wb638ujep.cloudfront.net/1/k/v/t/vtz0llegche.png,Uxley Allen,Alien,Inazuma Eleven,Brecha,FW,Wind,Occult,155,151,137,121,119,112,134,929,Middle School,Grade 8,Male,Player
50.0,https://dxi4wb638ujep.cloudfront.net/1/k/k/f/kfovm0iaxss.png,Phil Noir,Noir,Inazuma Eleven,Afinidad,FW,Forest,Occult,155,151,137,121,119,112,134,929,Middle School,Grade 8,Male,Player
51.0,https://dxi4wb638ujep.cloudfront.net/1/k/e/q/eqlg1pxseyc.png,Mick Askley,Ghost,Inazuma Eleven,Afinidad,MF,Forest,Occult,135,156,158,116,113,113,140,931,Middle School,Grade 9,Male,Player
52.0,https://dxi4wb638ujep.cloudfront.net/1/k/p/5/p54_qlu6ghc.png,Hekyll Jyde,Jyde,Inazuma Eleven,Juego Sucio,DF,Mountain,Occult,120,123,127,135,142,123,155,925,Adult,-,Male,Manager
53.0,https://dxi4wb638ujep.cloudfront.net/1/k/t/2/t2vvykaoccs.png,Lanny Tern,Tern,Inazuma Eleven,Contraataque,GK,Wind,Occult,117,128,120,135,141,145,128,914,Middle School,Grade 8,Female,Coordinator
54.0,https://dxi4wb638ujep.cloudfront.net/1/k/p/a/pakshsy_xr0.png,Charlie Boardfield,Boar,Inazuma Eleven,Juego Sucio,GK,Fire,Wild,117,128,120,135,141,145,128,914,Middle School,Grade 9,Male,Player
55.0,https://dxi4wb638ujep.cloudfront.net/1/k/v/v/vvpnupt3ele.png,Hugo Tallgeese,Chicken,Inazuma Eleven,Juego Sucio,MF,Fire,Wild,140,152,147,121,123,113,135,931,Middle School,Grade 7,Male,Player
56.0,https://dxi4wb638ujep.cloudfront.net/1/k/e/h/ehyg5wlnp4s.png,Wilson Fishman,Fishman,Inazuma Eleven,Afinidad,DF,Forest,Wild,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
57.0,https://dxi4wb638ujep.cloudfront.net/1/k/c/m/cmfaxpzhs-s.png,Peter Johnson,Toad,Inazuma Eleven,Contraataque,DF,Forest,Wild,114,119,116,142,148,121,165,925,Middle School,Grade 7,Male,Player
58.0,https://dxi4wb638ujep.cloudfront.net/1/k/t/o/tou76w_bbne.png,Leonard O'Shea,Lion,Inazuma Eleven,Juego Sucio,DF,Mountain,Wild,120,123,127,135,142,123,155,925,Middle School,Grade 9,Male,Player
59.0,https://dxi4wb638ujep.cloudfront.net/1/k/n/h/nhnoplkt0t0.png,Cham Lion,Chameleon,Inazuma Eleven,Brecha,MF,Wind,Wild,141,152,149,123,124,113,135,937,Middle School,Grade 9,Male,Player
60.0,https://dxi4wb638ujep.cloudfront.net/1/k/8/j/8j8ve0spzec.png,Steve Eagle,Eagle,Inazuma Eleven,Tensión,MF,Wind,Wild,135,156,158,116,113,113,140,931,Middle School,Grade 8,Male,Player
61.0,https://dxi4wb638ujep.cloudfront.net/1/k/i/j/ijd315vl-h0.png,Bruce Monkey,Monkey,Inazuma Eleven,Juego Sucio,MF,Wind,Wild,135,156,158,116,113,113,140,931,Middle School,Grade 7,Male,Player
62.0,https://dxi4wb638ujep.cloudfront.net/1/k/5/l/5lywygjxtsc.png,Gary Lancaster,Gorilla,Inazuma Eleven,Afinidad,FW,Mountain,Wild,155,151,137,121,119,112,134,929,Middle School,Grade 8,Male,Player
63.0,https://dxi4wb638ujep.cloudfront.net/1/k/x/j/xjpbcha4y-8.png,Harry Snake,Snake,Inazuma Eleven,Brecha,FW,Forest,Wild,155,151,137,121,119,112,134,929,Middle School,Grade 9,Male,Player
64.0,https://dxi4wb638ujep.cloudfront.net/1/k/m/l/mly6v4mcfnu.png,Adrian Speed,Cheetah,Inazuma Eleven,Juego Sucio,FW,Wind,Wild,166,158,142,119,113,113,126,937,Middle School,Grade 9,Male,Player
65.0,https://dxi4wb638ujep.cloudfront.net/1/k/g/k/gk7p8ltkqtk.png,Alan Coe,Koala,Inazuma Eleven,Justicia,MF,Forest,Wild,135,156,158,116,113,113,140,931,Middle School,Grade 7,Male,Player
66.0,https://dxi4wb638ujep.cloudfront.net/1/k/3/m/3mkura1whem.png,Philip Anders,Panda,Inazuma Eleven,Brecha,FW,Fire,Wild,165,156,142,116,113,113,124,929,Middle School,Grade 9,Male,Player
67.0,https://dxi4wb638ujep.cloudfront.net/1/k/1/t/1tny_dnccym.png,Rocky Rackham,Raccoon,Inazuma Eleven,Justicia,DF,Forest,Wild,120,123,127,135,142,123,155,925,Middle School,Grade 8,Male,Player
68.0,https://dxi4wb638ujep.cloudfront.net/1/k/e/f/ef8ts8bmvrk.png,Matt Mouseman,Mouseman,Inazuma Eleven,Afinidad,MF,Mountain,Wild,140,152,147,121,123,113,135,931,Middle School,Grade 8,Male,Player
69.0,https://dxi4wb638ujep.cloudfront.net/1/k/k/q/kqfmbh0ualu.png,Chad Bullford,Bullford,Inazuma Eleven,Tensión,GK,Fire,Wild,117,128,120,135,141,145,128,914,Middle School,Grade 9,Male,Player
70.0,https://dxi4wb638ujep.cloudfront.net/1/k/e/-/e-qruphieye.png,Harry Savage,Savage,Inazuma Eleven,Justicia,MF,Wind,Wild,140,152,147,121,123,113,135,931,Adult,-,Male,Manager
71.0,https://dxi4wb638ujep.cloudfront.net/1/k/n/z/nz2ghxvgpic.png,Flammie Gonzalez,Gonzalez,Inazuma Eleven,Justicia,FW,Fire,Wild,165,156,142,116,113,113,124,929,Middle School,Grade 8,Female,Coordinator
72.0,https://dxi4wb638ujep.cloudfront.net/1/k/l/s/lsetbtpeusc.png,Thomas Feldt,Feldt,Inazuma Eleven,Contraataque,GK,Forest,Brainwashing,119,130,123,133,144,152,131,932,Middle School,Grade 9,Male,Player
73.0,https://dxi4wb638ujep.cloudfront.net/1/k/r/d/rdnyso6mbms.png,Harry Leading,Leading,Inazuma Eleven,Brecha,DF,Wind,Brainwashing,114,119,116,142,148,121,165,925,Middle School,Grade 7,Male,Player
74.0,https://dxi4wb638ujep.cloudfront.net/1/k/a/r/arw5_xc22_e.png,Terry Stronger,Stronger,Inazuma Eleven,Justicia,DF,Fire,Brainwashing,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
75.0,https://dxi4wb638ujep.cloudfront.net/1/k/y/k/ykrlrooaz5e.png,Philip Marvel,Marvel,Inazuma Eleven,Brecha,DF,Mountain,Brainwashing,120,123,127,135,142,123,155,925,Middle School,Grade 8,Male,Player
76.0,https://dxi4wb638ujep.cloudfront.net/1/k/p/i/pige8xogeks.png,Noel Good,Good,Inazuma Eleven,Juego Sucio,DF,Forest,Brainwashing,120,123,127,135,142,123,155,925,Middle School,Grade 8,Male,Player
77.0,https://dxi4wb638ujep.cloudfront.net/1/k/j/n/jndxvkdorqc.png,Tyron Rock,Rock,Inazuma Eleven,Contraataque,MF,Fire,Brainwashing,135,156,158,116,113,113,140,931,Middle School,Grade 9,Male,Player
78.0,https://dxi4wb638ujep.cloudfront.net/1/k/4/l/4lyqc17sgz0.png,Francis Tell,Tell,Inazuma Eleven,Afinidad,MF,Forest,Brainwashing,140,152,147,121,123,113,135,931,Middle School,Grade 8,Male,Player
79.0,https://dxi4wb638ujep.cloudfront.net/1/k/m/p/mpniz44whmc.png,Samuel Buster,Buster,Inazuma Eleven,Afinidad,MF,Fire,Brainwashing,135,156,158,116,113,113,140,931,Middle School,Grade 9,Male,Player
80.0,https://dxi4wb638ujep.cloudfront.net/1/k/9/n/9n8pehekmv0.png,Jonathan Seller,Seller,Inazuma Eleven,Justicia,FW,Wind,Brainwashing,166,158,142,119,113,113,126,937,Middle School,Grade 8,Male,Player
81.0,https://dxi4wb638ujep.cloudfront.net/1/k/t/p/tpnkegxdt5u.png,Victor Kind,Kind,Inazuma Eleven,Afinidad,MF,Forest,Brainwashing,140,152,147,121,123,113,135,931,Middle School,Grade 8,Male,Player
82.0,https://dxi4wb638ujep.cloudfront.net/1/k/i/n/inwfp5x5ak8.png,Neil Turner,Turner,Inazuma Eleven,Tensión,FW,Fire,Brainwashing,166,158,142,119,113,113,126,937,Middle School,Grade 8,Male,Player
83.0,https://dxi4wb638ujep.cloudfront.net/1/k/c/i/ci1w6kex1qm.png,Reg Underwood,Under,Inazuma Eleven,Tensión,GK,Forest,Brainwashing,117,128,120,135,141,145,128,914,Middle School,Grade 8,Male,Player
84.0,https://dxi4wb638ujep.cloudfront.net/1/k/z/g/zgerxbilyzk.png,Patrick Stiller,Stiller,Inazuma Eleven,Tensión,MF,Wind,Brainwashing,140,152,147,121,123,113,135,931,Middle School,Grade 7,Male,Player
85.0,https://dxi4wb638ujep.cloudfront.net/1/k/x/b/xbdn5cwndfk.png,Charles Oughtry,Oughtry,Inazuma Eleven,Brecha,MF,Mountain,Brainwashing,135,156,158,116,113,113,140,931,Middle School,Grade 9,Male,Player
86.0,https://dxi4wb638ujep.cloudfront.net/1/k/a/p/apysu9wdwsm.png,Clive Mooney,Mooney,Inazuma Eleven,Juego Sucio,FW,Fire,Brainwashing,155,151,137,121,119,112,134,929,Middle School,Grade 8,Male,Player
87.0,https://dxi4wb638ujep.cloudfront.net/1/k/g/g/ggrzhgjvfm8.png,Neil Waters,Waters,Inazuma Eleven,Justicia,DF,Forest,Brainwashing,120,123,127,135,142,123,155,925,Middle School,Grade 8,Male,Player
88.0,https://dxi4wb638ujep.cloudfront.net/1/k/v/w/vwbkdwhyzbs.png,Newton Thomas,Thommo,Inazuma Eleven,Contraataque,MF,Forest,Brainwashing,140,152,147,121,123,113,135,931,Adult,-,Male,Manager
89.0,https://dxi4wb638ujep.cloudfront.net/1/k/n/b/nbqrnz0o4lc.png,Sam Idol,Idol,Inazuma Eleven,Tensión,GK,Mountain,Otaku,119,130,123,133,144,152,131,932,Middle School,Grade 8,Male,Player
90.0,https://dxi4wb638ujep.cloudfront.net/1/k/t/u/tujeeebgnfs.png,Marcus Train,Train,Inazuma Eleven,Juego Sucio,DF,Fire,Otaku,114,119,116,142,148,121,165,925,Middle School,Grade 9,Male,Player
91.0,https://dxi4wb638ujep.cloudfront.net/1/k/c/g/cg4_z7n8g2e.png,Light Nobel,Novel,Inazuma Eleven,Justicia,MF,Forest,Otaku,140,152,147,121,123,113,135,931,Middle School,Grade 8,Male,Player
92.0,https://dxi4wb638ujep.cloudfront.net/1/k/e/n/en_jdi1qlwe.png,Walter Valiant,Hero,Inazuma Eleven,Contraataque,MF,Fire,Otaku,135,158,159,119,113,113,141,938,Middle School,Grade 8,Male,Player
93.0,https://dxi4wb638ujep.cloudfront.net/1/k/v/p/vpocwdtqids.png,Spencer Gates,Cosplay,Inazuma Eleven,Juego Sucio,DF,Mountain,Otaku,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
94.0,https://dxi4wb638ujep.cloudfront.net/1/k/p/g/pgt3jami9jc.png,Josh Spear,Online,Inazuma Eleven,Justicia,FW,Forest,Otaku,155,151,137,121,119,112,134,929,Middle School,Grade 8,Male,Player
95.0,https://dxi4wb638ujep.cloudfront.net/1/k/-/i/-icwo_ayqq0.png,Gaby Farmer,Custom,Inazuma Eleven,Afinidad,FW,Wind,Otaku,155,151,137,121,119,112,134,929,Middle School,Grade 8,Male,Player
96.0,https://dxi4wb638ujep.cloudfront.net/1/k/k/i/kijo_yd63vc.png,A. Woodbridge,Robot,Inazuma Eleven,Contraataque,MF,Wind,Otaku,135,156,158,116,113,113,140,931,Middle School,Grade 7,Male,Player
97.0,https://dxi4wb638ujep.cloudfront.net/1/k/7/k/7ksvsnlaac0.png,Gus Gamer,Gamer,Inazuma Eleven,Tensión,FW,Fire,Otaku,155,151,137,121,119,112,134,929,Middle School,Grade 8,Male,Player
98.0,https://dxi4wb638ujep.cloudfront.net/1/k/v/i/vijiimsj7wu.png,Mark Gambling,Artist,Inazuma Eleven,Afinidad,FW,Wind,Otaku,166,158,142,119,113,113,126,937,Middle School,Grade 8,Male,Player
99.0,https://dxi4wb638ujep.cloudfront.net/1/k/k/k/kk4dlzkzwd8.png,Theodore Master,Arcade,Inazuma Eleven,Juego Sucio,FW,Forest,Otaku,165,156,142,116,113,113,124,929,Middle School,Grade 9,Male,Player
100.0,https://dxi4wb638ujep.cloudfront.net/1/k/e/l/elb22u_7jjm.png,Ham Signalman,Signalman,Inazuma Eleven,Brecha,MF,Wind,Otaku,135,156,158,116,113,113,140,931,Middle School,Grade 8,Male,Player
101.0,https://dxi4wb638ujep.cloudfront.net/1/k/1/n/1nqxbrzboqk.png,Bill Formby,Formby,Inazuma Eleven,Brecha,DF,Mountain,Otaku,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
102.0,https://dxi4wb638ujep.cloudfront.net/1/k/3/s/3stl1iltlwk.png,Grant Eldorado,Eldorado,Inazuma Eleven,Tensión,GK,Fire,Otaku,117,128,120,135,141,145,128,914,Middle School,Grade 7,Male,Player
103.0,https://dxi4wb638ujep.cloudfront.net/1/k/g/e/gecqy3txmlm.png,Mike Vox,Vox,Inazuma Eleven,Contraataque,DF,Wind,Otaku,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
104.0,https://dxi4wb638ujep.cloudfront.net/1/k/m/r/mr_flqyftf8.png,Ollie Webb,Net,Inazuma Eleven,Contraataque,DF,Forest,Otaku,114,119,116,142,148,121,165,925,Middle School,Grade 7,Male,Player
105.0,https://dxi4wb638ujep.cloudfront.net/1/k/b/8/b8ksybiqu-e.png,Manny Artic,Artic,Inazuma Eleven,Justicia,MF,Mountain,Otaku,135,156,158,116,113,113,140,931,Adult,-,Male,Manager
106.0,https://dxi4wb638ujep.cloudfront.net/1/k/q/u/quvzfkeq5ns.png,Meina Maiden,Meina,Inazuma Eleven,Brecha,DF,Forest,Otaku,114,119,116,142,148,121,165,925,Middle School,Grade 8,Female,Coordinator
107.0,https://dxi4wb638ujep.cloudfront.net/1/k/t/b/tb-t5rxymcu.png,Morgan Sanders,Hood,Inazuma Eleven,Afinidad,GK,Forest,Shuriken,117,128,120,135,141,145,128,914,Middle School,Grade 9,Male,Player
108.0,https://dxi4wb638ujep.cloudfront.net/1/k/n/u/nudyqmi6t8k.png,Newton Flust,Crackshot,Inazuma Eleven,Tensión,DF,Mountain,Shuriken,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
109.0,https://dxi4wb638ujep.cloudfront.net/1/k/8/g/8gs5hzea-pm.png,Jim Hillfort,Hillfort,Inazuma Eleven,Justicia,DF,Wind,Shuriken,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
110.0,https://dxi4wb638ujep.cloudfront.net/1/k/-/n/-nrlpqws7jm.png,Galen Thunderbird,Thunder,Inazuma Eleven,Afinidad,DF,Mountain,Shuriken,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
111.0,https://dxi4wb638ujep.cloudfront.net/1/k/p/p/ppaeevwww6k.png,Finn Stoned,Bandit,Inazuma Eleven,Tensión,DF,Fire,Shuriken,114,119,116,142,148,121,165,925,Middle School,Grade 9,Male,Player
112.0,https://dxi4wb638ujep.cloudfront.net/1/k/v/g/vg5xxifejau.png,Phil Wingate,Code,Inazuma Eleven,Justicia,MF,Mountain,Shuriken,141,152,149,123,124,113,135,937,Middle School,Grade 8,Male,Player
113.0,https://dxi4wb638ujep.cloudfront.net/1/k/e/i/eiiq63jkop8.png,Jez Shell,Star,Inazuma Eleven,Afinidad,MF,Wind,Shuriken,135,156,158,116,113,113,140,931,Middle School,Grade 8,Male,Player
114.0,https://dxi4wb638ujep.cloudfront.net/1/k/q/i/qi3il6ggpwu.png,Jupiter Jumper,Cleats,Inazuma Eleven,Juego Sucio,MF,Wind,Shuriken,140,152,147,121,123,113,135,931,Middle School,Grade 7,Male,Player
115.0,https://dxi4wb638ujep.cloudfront.net/1/k/b/k/bkgpmfg8el8.png,Sam Samurai,Samurai,Inazuma Eleven,Brecha,FW,Forest,Shuriken,165,156,142,116,113,113,124,929,Middle School,Grade 9,Male,Player
116.0,https://dxi4wb638ujep.cloudfront.net/1/k/1/i/1idk8ep1ljc.png,Hank Sullivan,Hattori,Inazuma Eleven,Afinidad,MF,Forest,Shuriken,141,152,149,123,124,113,135,937,Middle School,Grade 8,Male,Player
